[2026-04-28T04:16:42+00:00] [SUP] backbone=resnet50
[2026-04-28T04:16:42+00:00] ------------------------------------------------
04:45:43 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 019/30 | train_loss 0.0030 train_acc 0.9992 | val_loss 0.0205 val_acc 0.9940
04:45:46 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 020/30 | train_loss 0.0029 train_acc 0.9991 | val_loss 0.0182 val_acc 0.9951
04:45:50 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 021/30 | train_loss 0.0031 train_acc 0.9992 | val_loss 0.0187 val_acc 0.9948
04:45:53 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 022/30 | train_loss 0.0030 train_acc 0.9990 | val_loss 0.0183 val_acc 0.9950
04:45:57 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 023/30 | train_loss 0.0025 train_acc 0.9993 | val_loss 0.0186 val_acc 0.9947
04:46:00 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 024/30 | train_loss 0.0030 train_acc 0.9992 | val_loss 0.0188 val_acc 0.9943
04:46:03 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 025/30 | train_loss 0.0023 train_acc 0.9997 | val_loss 0.0178 val_acc 0.9944
04:46:06 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 026/30 | train_loss 0.0029 train_acc 0.9993 | val_loss 0.0182 val_acc 0.9943
04:46:10 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 027/30 | train_loss 0.0017 train_acc 0.9994 | val_loss 0.0180 val_acc 0.9945
04:46:13 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 028/30 | train_loss 0.0019 train_acc 0.9996 | val_loss 0.0181 val_acc 0.9942
04:46:16 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 029/30 | train_loss 0.0018 train_acc 0.9993 | val_loss 0.0179 val_acc 0.9944
04:46:20 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 030/30 | train_loss 0.0017 train_acc 0.9996 | val_loss 0.0180 val_acc 0.9943
04:46:20 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] done in 00:01:41 | best val_acc 0.9951
04:46:21 | eval[supervised-resnet50/resnet50] | INFO | Low-shot 10.0% (n=9000) -> test acc 0.9454 | bal-acc 0.9245 | f1-macro 0.9238
04:46:21 | probe[finetune_1pct/resnet50] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
04:46:24 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 001/30 | train_loss 2.5178 train_acc 0.0366 | val_loss 2.2118 val_acc 0.0747
04:46:26 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 002/30 | train_loss 2.1239 train_acc 0.1731 | val_loss 1.8656 val_acc 0.4288
